iter	Passed	Remaining
234	1385	4509
235	1388	4495
236	1392	4483
237	1398	4479
238	1402	4466
239	1405	4452
240	1411	4445
241	1417	4439
242	1420	4425
243	1424	4413
244	1432	4413
245	1436	4401
246	1439	4388
247	1445	4383
248	1450	4374
249	1453	4361
250	1458	4351
251	1464	4347
252	1468	4335
253	1471	4322
254	1477	4317
255	1482	4307
256	1485	4294
257	1491	4289
258	1495	4279
259	1499	4267
260	1502	4255
261	1509	4251
262	1512	4239
263	1516	4226
264	1519	4213
265	1524	4207
266	1528	4195
267	1531	4182
268	1534	4169
269	1539	4162
270	1542	4150
271	1546	4138
272	1549	4126
273	1555	4122
274	1559	4112
275	1563	4100
276	1566	4088
277	1571	4080
278	1575	4071
279	1578	4059
280	1581	4047
281	1587	4042
282	1591	4032
283	1594	4020
284	1597	4008
285	1603	4002
286	1606	3992
287	1610	3982
288	1614	3972
289	1618	3963
290	1623	3956
291	1626	3944
292	1630	3933
293	1637	3931
294	1641	3922
295	1645	3912
296	1651	3909
297	1655	3900
298	1659	3889
299	1662	3878
300	1668	3875
301	1672	3865
302	1676	3855
303	1680	3847
304	1686	3843
305	1690	3833
306	1693	3823
307	1699	3819
308	1703	3809
309	1706	3799
310	1712	3793
311	1720	3794
312	1727	3791
313	1734	3790
314	1740	3785
315	1752	3792
316	1763	3800
317	1788	3836
318	1800	3843
319	1817	3861
320	1851	3915
321	1915	4033
322	1938	4062
323	1945	4059
324	1953	4056
325	1957	4047
326	1965	4044
327	1969	4035
328	1974	4027
329	1981	4023
330	1985	4013
331	1989	4003
332	1995	3997
333	2000	3989
334	2004	3979
335	2008	3968
336	2014	3962
337	2018	3952
338	2021	3942
339	2028	3936
340	2032	3927
341	2036	3918
342	2041	3909
343	2046	3902
344	2050	3893
345	2054	3883
346	2060	3877
347	2064	3868
348	2068	3858
349	2073	3850
350	2078	3843
351	2082	3834
352	2086	3824
353	2092	3819
354	2097	3810
355	2100	3800
356	2106	3793
357	2111	3786
358	2115	3776
359	2119	3767
360	2125	3761
361	2128	3752
362	2133	3743
363	2138	3736
364	2143	3728
365	2147	3719
366	2152	3712
367	2158	3706
368	2162	3697
369	2165	3687
370	2172	3682
371	2176	3673
372	2180	3664
373	2184	3656
374	2190	3650
375	2193	3640
376	2197	3631
377	2204	3627
378	2208	3618
379	2212	3609
380	2217	3603
381	2222	3595
382	2226	3586
383	2230	3577
384	2236	3572
385	2240	3564
386	2244	3555
387	2252	3552
388	2256	3543
389	2260	3535
390	2266	3530
391	2270	3522
392	2274	3513
393	2278	3504
394	2284	3498
395	2288	3490
396	2292	3482
397	2299	3478
398	2303	3470
399	2308	3462
400	2312	3454
401	2318	3449
402	2322	3441
403	2328	3434
404	2333	3428
405	2337	3420
406	2341	3411
407	2347	3406
408	2352	3398
409	2356	3390
410	2367	3392
411	2371	3384
412	2377	3378
413	2382	3372
414	2386	3363
415	2392	3359
416	2398	3353
417	2402	3345
418	2408	3339
419	2414	3333
420	2418	3325
421	2423	3319
422	2429	3314
423	2433	3306
424	2437	3298
425	2443	3292
426	2447	3284
427	2452	3277
428	2461	3275
429	2465	3267
430	2469	3259
431	2476	3255
432	2481	3249
433	2486	3242
434	2492	3237
435	2496	3229
436	2501	3222
437	2508	3218
438	2512	3211
439	2516	3203
440	2524	3200
441	2528	3192
442	2533	3185
443	2540	3180
444	2544	3173
445	2549	3166
446	2556	3162
447	2560	3155
448	2568	3151
449	2574	3146
450	2581	3142
451	2588	3138
452	2593	3131
453	2598	3125
454	2604	3119
455	2608	3112
456	2613	3105
457	2620	3100
458	2624	3092
459	2628	3085
460	2635	3081
461	2639	3073
462	2642	3065
463	2651	3062
464	2654	3054
465	2657	3045
466	2662	3038
467	2666	3031
468	2670	3023
469	2673	3014
470	2676	3005
471	2682	3000
472	2685	2991
473	2688	2983
474	2691	2974
475	2696	2968
476	2699	2960
477	2703	2951
478	2706	2943
479	2710	2936
480	2715	2929
481	2718	2921
482	2721	2913
483	2725	2905
484	2729	2898
485	2733	2890
486	2736	2882
487	2740	2874
488	2744	2868
489	2747	2860
490	2751	2851
491	2753	2843
492	2758	2837
493	2762	2829
494	2765	2821
495	2768	2812
496	2771	2804
497	2775	2798
498	2779	2790
499	2781	2781
500	2784	2773
501	2788	2766
502	2792	2759
503	2796	2751
504	2798	2743
505	2801	2735
506	2806	2729
507	2810	2722
508	2813	2714
509	2817	2706
510	2821	2699
511	2825	2692
512	2828	2685
513	2831	2677
514	2834	2669
515	2839	2663
516	2841	2655
517	2844	2647
518	2847	2639
519	2850	2631
520	2855	2625
521	2859	2618
522	2862	2610
523	2864	2602
524	2869	2596
525	2873	2589
526	2876	2581
527	2878	2573
528	2881	2565
529	2887	2560
530	2890	2553
531	2893	2545
532	2896	2537
533	2900	2531
534	2904	2524
535	2907	2517
536	2910	2509
537	2913	2502
538	2918	2496
539	2922	2489
540	2925	2481
541	2928	2474
542	2932	2468
543	2936	2461
544	2939	2454
545	2942	2446
546	2945	2439
547	2950	2433
548	2953	2426
549	2956	2418
550	2959	2411
551	2963	2405
552	2968	2399
553	2971	2391
554	2973	2384
555	2976	2377
556	2981	2371
557	2984	2364
558	2988	2357
559	2991	2350
560	2995	2344
561	3000	2338
562	3003	2331
563	3006	2324
564	3009	2317
565	3014	2311
566	3017	2304
567	3020	2297
568	3023	2290
569	3027	2284
570	3031	2277
571	3034	2270
572	3037	2263
573	3040	2256
574	3045	2250
575	3048	2244
576	3051	2237
577	3054	2230
578	3057	2223
579	3062	2217
580	3066	2211
581	3069	2204
582	3072	2197
583	3077	2191
584	3080	2185
585	3083	2178
586	3087	2172
587	3093	2167
588	3096	2160
589	3099	2154
590	3103	2147
591	3108	2142
592	3111	2135
593	3114	2129
594	3118	2122
595	3122	2116
596	3126	2110
597	3130	2104
598	3133	2097
599	3137	2091
600	3142	2086
601	3145	2079
602	3148	2073
603	3153	2067
604	3157	2061
605	3161	2055
606	3164	2048
607	3168	2042
608	3173	2037
609	3176	2030
610	3180	2025
611	3185	2019
612	3191	2014
613	3194	2008
614	3198	2002
615	3206	1998
616	3210	1992
617	3213	1986
618	3218	1981
619	3223	1975
620	3227	1969
621	3230	1963
622	3236	1958
623	3240	1952
624	3243	1946
625	3248	1940
626	3253	1935
627	3257	1929
628	3260	1923
629	3267	1919
630	3271	1913
631	3274	1906
632	3278	1900
633	3280	1893
634	3285	1888
635	3289	1882
636	3292	1876
637	3299	1872
638	3303	1866
639	3307	1860
640	3312	1855
641	3317	1850
642	3321	1844
643	3324	1837
644	3331	1833
645	3335	1827
646	3339	1821
647	3345	1817
648	3350	1812
649	3354	1806
650	3358	1800
651	3364	1796
652	3368	1790
653	3371	1783
654	3378	1779
655	3383	1774
656	3387	1768
657	3394	1764
658	3399	1759
659	3402	1752
660	3406	1747
661	3412	1742
662	3415	1736
663	3418	1729
664	3422	1723
665	3427	1719
666	3430	1712
667	3432	1705
668	3435	1699
669	3441	1694
670	3444	1688
671	3447	1682
672	3450	1676
673	3455	1671
674	3459	1665
675	3462	1659
676	3465	1653
677	3468	1647
678	3473	1642
679	3476	1636
680	3479	1629
681	3482	1623
682	3487	1618
683	3491	1612
684	3494	1606
685	3496	1600
686	3499	1594
687	3504	1589
688	3508	1583
689	3510	1577
690	3513	1571
691	3517	1565
692	3521	1560
693	3524	1554
694	3528	1548
695	3531	1542
696	3537	1537
697	3540	1531
698	3543	1525
699	3546	1520
700	3552	1515
701	3556	1509
702	3559	1503
703	3562	1498
704	3568	1493
705	3572	1487
706	3575	1481
707	3579	1476
708	3584	1471
709	3588	1465
710	3591	1459
711	3594	1454
712	3600	1449
713	3604	1443
714	3607	1438
715	3611	1432
716	3616	1427
717	3620	1421
718	3623	1416
719	3626	1410
720	3632	1405
721	3635	1399
722	3638	1393
723	3641	1388
724	3644	1382
725	3649	1377
726	3652	1371
727	3655	1365
728	3658	1360
729	3663	1354
730	3666	1349
731	3670	1343
732	3673	1338
733	3678	1333
734	3682	1327
735	3685	1321
736	3687	1316
737	3690	1310
738	3695	1305
739	3698	1299
740	3701	1293
741	3704	1288
742	3708	1282
743	3712	1277
744	3716	1272
745	3719	1266
746	3721	1260
747	3726	1255
748	3730	1250
749	3733	1244
750	3735	1238
751	3738	1232
752	3743	1228
753	3746	1222
754	3749	1216
755	3752	1211
756	3756	1205
757	3761	1200
758	3763	1195
759	3766	1189
760	3769	1183
761	3774	1179
762	3778	1173
763	3781	1168
764	3784	1162
765	3787	1157
766	3792	1152
767	3795	1146
768	3798	1140
769	3801	1135
770	3805	1130
771	3809	1125
772	3813	1119
773	3816	1114
774	3820	1109
775	3824	1103
776	3827	1098
777	3830	1092
778	3833	1087
779	3837	1082
780	3840	1076
781	3843	1071
782	3846	1066
783	3849	1060
784	3853	1055
785	3857	1050
786	3860	1044
787	3863	1039
788	3866	1033
789	3871	1029
790	3874	1023
791	3877	1018
792	3881	1013
793	3886	1008
794	3890	1003
795	3893	997
796	3896	992
797	3901	987
798	3905	982
799	3909	977
800	3912	972
801	3918	967
802	3922	962
803	3925	957
804	3929	951
805	3935	947
806	3938	941
807	3942	936
808	3946	931
809	3951	926
810	3955	921
811	3958	916
812	3962	911
813	3967	906
814	3970	901
815	3973	896
816	3977	890
817	3982	886
818	3985	880
819	3988	875
820	3992	870
821	3996	865
822	4000	860
823	4004	855
824	4007	850
825	4012	845
826	4016	840
827	4019	835
828	4023	829
829	4029	825
830	4035	820
831	4041	816
832	4045	811
833	4052	806
834	4058	801
835	4065	797
836	4069	792
837	4076	787
838	4081	783
839	4085	778
840	4091	773
841	4097	768
842	4100	763
843	4106	758
844	4112	754
845	4116	749
846	4121	744
847	4128	739
848	4132	734
849	4138	730
850	4144	725
851	4148	720
852	4154	716
853	4160	711
854	4164	706
855	4171	701
856	4176	696
857	4179	691
858	4183	686
859	4191	682
860	4195	677
861	4198	672
862	4206	667
863	4210	662
864	4214	657
865	4221	653
866	4225	648
867	4229	643
868	4235	638
869	4241	633
870	4244	628
871	4249	623
872	4254	618
873	4258	613
874	4262	608
875	4271	604
876	4275	599
877	4278	594
878	4286	590
879	4290	585
880	4294	580
881	4300	575
882	4304	570
883	4308	565
884	4311	560
885	4317	555
886	4320	550
887	4324	545
888	4327	540
889	4332	535
890	4336	530
891	4339	525
892	4343	520
893	4348	515
894	4351	510
895	4355	505
896	4359	500
897	4364	495
898	4368	490
899	4372	485
900	4378	481
901	4381	476
902	4384	470
903	4387	465
904	4390	460
905	4395	456
906	4398	451
907	4401	445
908	4404	440
909	4408	436
910	4412	431
911	4415	426
912	4418	421
913	4421	416
914	4426	411
915	4429	406
916	4432	401
917	4435	396
918	4438	391
919	4443	386
920	4445	381
921	4448	376
922	4451	371
923	4455	366
924	4459	361
925	4462	356
926	4465	351
927	4468	346
928	4473	341
929	4476	336
930	4479	331
931	4482	327
932	4485	322
933	4490	317
934	4493	312
935	4496	307
936	4499	302
937	4505	297
938	4508	292
939	4511	287
940	4514	283
941	4518	278
942	4522	273
943	4525	268
944	4528	263
945	4531	258
946	4535	253
947	4539	248
948	4542	244
949	4544	239
950	4547	234
951	4552	229
952	4555	224
953	4558	219
954	4561	214
955	4564	210
956	4569	205
957	4572	200
958	4575	195
959	4578	190
960	4582	185
961	4586	181
962	4589	176
963	4592	171
964	4595	166
965	4600	161
966	4603	157
967	4606	152
968	4609	147
969	4612	142
970	4617	137
971	4620	133
972	4623	128
973	4626	123
974	4631	118
975	4634	113
976	4637	109
977	4640	104
978	4643	99
979	4647	94
980	4650	90
981	4653	85
982	4656	80
983	4659	75
984	4664	71
985	4667	66
986	4670	61
987	4673	56
988	4676	52
989	4681	47
990	4685	42
991	4688	37
992	4691	33
993	4696	28
994	4699	23
995	4702	18
996	4705	14
997	4709	9
998	4714	4
999	4717	0
