iter	Logloss
0	0.6854286233
1	0.676233086
2	0.668541616
3	0.6632712166
4	0.6557078798
5	0.6485298676
6	0.6413021442
7	0.6333774145
8	0.6268899432
9	0.6196407699
10	0.6130069568
11	0.6069153319
12	0.5995366375
13	0.5932077858
14	0.5861473413
15	0.5797630925
16	0.571746848
17	0.5656742337
18	0.5597303763
19	0.5539375058
20	0.5488486944
21	0.5416165764
22	0.5358560372
23	0.5311737416
24	0.5270173542
25	0.5221133497
26	0.5161970897
27	0.5109889636
28	0.5050354084
29	0.5001515449
30	0.4970778916
31	0.4931801737
32	0.4870444717
33	0.4833432853
34	0.4783707341
35	0.4743791816
36	0.4695983303
37	0.465624703
38	0.4619508442
39	0.457461713
40	0.4529250121
41	0.4492908105
42	0.4455962523
43	0.4429141753
44	0.4393210771
45	0.4357924429
46	0.4316783628
47	0.4267350812
48	0.4236189692
49	0.4201223456
50	0.4170548185
51	0.4130813992
52	0.4091091986
53	0.405446226
54	0.4005317542
55	0.3965245267
56	0.3943273858
57	0.3918855903
58	0.388936546
59	0.3857972302
60	0.3836456572
61	0.3809173006
62	0.377932505
63	0.3743719208
64	0.3711274813
65	0.3691202615
66	0.3667536301
67	0.3645605569
68	0.3615747908
69	0.3584972656
70	0.3564614271
71	0.3545800268
72	0.3523625296
73	0.3493409971
74	0.3466440098
75	0.3437247864
76	0.3412954339
77	0.3396238736
78	0.3377676508
79	0.33525818
80	0.3324169331
81	0.3309951164
82	0.328942392
83	0.3256374128
84	0.3234036598
85	0.3216664641
86	0.3197191762
87	0.3180415906
88	0.3169178058
89	0.3143687129
90	0.3122961053
91	0.3108209075
92	0.3089813589
93	0.3075223334
94	0.306178179
95	0.3043988767
96	0.3028839888
97	0.3018376384
98	0.3000729837
99	0.2988197816
100	0.2970417519
101	0.2949637868
102	0.2937007962
103	0.2915915976
104	0.2894826713
105	0.2883138963
106	0.2869798577
107	0.2854965936
108	0.2840328614
109	0.2827647213
110	0.2812520447
111	0.2800951267
112	0.2782898075
113	0.2766064527
114	0.2756900042
115	0.274491742
116	0.2729704983
117	0.2716905048
118	0.2703039945
119	0.2691875994
120	0.2681948737
121	0.2665538954
122	0.264929282
